0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
138	254	64	253
83	254	64	253
249	254	128	4
9	255	128	4
19	0	128	4
215	0	192	251
155	0	192	251
217	1	192	251
227	1	192	252
151	2	192	252
215	255	64	254
228	254	64	254
133	254	64	254
119	254	128	1
252	254	128	1
203	254	128	1
2	255	128	249
233	254	128	249
17	254	128	249
79	254	128	2
142	254	128	2
59	255	128	2
68	255	128	2
203	254	128	3
53	254	128	3
71	254	128	3
197	252	0	3
149	254	0	3
53	255	0	3
87	0	64	255
166	0	64	255
229	255	64	255
110	255	0	1
115	254	0	1
53	255	0	1
244	255	0	251
163	255	0	251
252	255	0	251
83	0	0	251
185	0	128	5
113	1	128	5
151	0	192	250
218	255	192	250
31	255	0	4
126	255	0	4
70	0	0	4
5	0	0	254
68	0	0	254
34	0	0	254
50	0	64	251
200	0	64	251
172	0	64	251
206	0	192	1
225	255	192	1
153	254	192	1
169	254	64	3
71	254	64	3
63	254	64	3
231	254	64	3
14	0	128	4
80	0	128	4
25	2	128	4
214	1	192	2
214	255	192	2
192	0	192	2
124	255	128	2
239	254	128	2
80	255	128	2
226	255	64	253
106	0	64	253
159	0	64	253
140	0	64	253
132	0	0	254
221	0	0	254
65	1	0	255
202	0	0	255
199	0	0	255
207	255	192	1
226	255	192	1
213	255	192	1
121	255	0	248
103	0	0	248
250	255	64	3
18	0	64	3
81	255	64	3
66	255	0	249
100	255	0	249
40	255	0	249
14	255	0	249
219	255	64	1
104	255	64	1
37	255	64	1
79	255	128	3
239	255	128	3
204	255	128	3
209	0	128	3
13	1	0	6
