0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
40	0	128	0
160	1	128	0
16	2	0	209
79	0	0	209
252	255	0	209
229	0	192	44
230	255	192	44
148	255	192	44
135	0	192	16
238	255	192	16
199	255	192	220
142	254	192	220
115	254	192	220
65	255	192	220
180	1	0	72
165	1	0	72
165	255	0	157
205	254	0	157
117	255	0	157
162	255	0	157
218	1	64	46
98	1	64	46
175	254	64	22
170	254	64	22
57	255	64	22
133	0	192	220
103	255	192	220
61	0	128	39
93	0	128	39
105	1	128	39
81	1	128	39
107	0	128	210
245	255	128	210
52	2	0	249
198	0	0	249
236	255	0	249
226	254	0	28
174	1	0	28
92	1	0	28
197	0	64	149
99	2	64	149
120	2	64	33
233	3	64	33
242	4	64	33
150	5	64	33
32	3	128	20
64	2	128	20
30	3	128	20
107	2	128	20
124	2	128	198
224	2	128	198
101	2	128	198
191	3	192	39
28	3	192	39
238	3	192	39
124	4	192	171
87	4	192	171
46	4	192	171
103	6	0	38
157	7	0	38
90	6	0	38
11	5	128	18
81	6	128	18
55	6	64	224
253	5	64	224
88	5	64	224
251	5	0	41
35	6	0	41
210	5	0	41
231	6	128	160
97	7	128	160
190	5	128	160
66	5	128	51
243	5	128	51
104	5	64	203
103	5	64	203
227	3	128	22
16	5	128	22
165	5	128	22
25	6	0	23
85	5	0	23
179	3	0	23
212	3	128	13
0	4	128	13
13	5	128	13
61	5	192	21
172	4	192	21
20	5	192	22
152	5	192	22
25	5	192	22
231	4	0	12
56	6	0	12
68	6	64	253
246	4	64	253
