0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
93	251	0	210
37	252	0	210
89	6	64	235
92	6	64	235
153	255	64	235
218	253	128	16
204	253	128	16
216	254	128	16
243	255	0	28
221	255	0	28
98	0	64	42
105	0	64	42
132	1	64	42
110	255	128	28
224	255	128	28
171	255	128	28
61	3	192	212
150	0	192	212
132	255	192	212
76	0	64	12
180	1	64	12
42	0	128	30
36	255	128	30
40	255	64	254
65	0	64	254
138	255	64	254
21	0	192	218
88	0	192	218
239	0	192	218
90	0	0	228
232	254	0	228
248	255	0	228
229	254	0	4
38	1	0	4
173	255	0	4
56	1	128	7
226	0	128	7
45	0	0	32
122	255	0	32
207	254	0	32
145	255	64	240
17	1	64	240
38	0	64	240
85	0	0	13
169	255	0	13
205	254	0	13
70	255	64	42
116	2	64	42
182	1	64	42
80	1	0	236
124	0	0	236
82	0	0	236
206	0	64	153
37	0	64	153
194	255	128	249
36	1	128	249
15	1	128	249
104	255	128	249
254	254	64	3
202	254	64	3
252	253	64	3
151	255	128	45
206	0	128	45
75	1	128	45
208	254	0	34
30	0	0	34
48	255	0	34
190	2	192	8
131	0	192	8
75	1	128	235
19	1	128	235
136	254	128	235
253	254	0	2
155	255	0	2
185	254	0	2
119	253	128	21
175	253	128	21
232	252	128	28
222	251	128	28
102	251	192	45
225	250	192	45
212	250	192	45
221	250	64	27
181	250	64	27
93	250	64	27
160	251	64	27
140	252	64	231
210	250	64	231
36	250	64	231
120	249	64	226
253	249	64	226
235	249	64	234
142	248	64	234
225	249	64	241
169	251	64	241
15	251	64	241
208	251	0	13
29	250	0	13
226	250	0	13
179	251	0	13
92	251	0	13
154	251	0	28
131	250	0	28
111	249	0	30
111	249	0	30
43	251	0	30
187	251	0	22
113	251	0	22
89	251	0	22
206	252	0	22
21	254	0	22
181	253	0	22
130	250	64	35
107	249	64	35
156	250	128	8
35	251	128	8
192	250	128	8
207	249	64	252
6	251	64	252
237	248	64	252
159	249	192	234
117	249	192	234
140	248	192	234
32	251	64	215
122	250	64	215
113	251	64	215
222	249	64	215
6	250	192	4
22	251	192	4
90	250	192	4
113	250	128	13
38	251	128	13
52	250	0	44
181	250	0	44
182	251	0	44
167	249	0	44
152	249	128	222
109	248	128	222
105	249	0	170
49	249	0	170
210	250	0	46
138	251	0	46
113	250	0	46
92	248	0	12
106	249	0	12
141	252	0	12
58	252	64	2
238	251	64	2
118	252	64	2
117	251	64	218
201	250	64	218
146	250	64	218
243	250	0	19
26	249	0	19
187	248	192	88
24	249	192	88
192	249	192	88
139	250	64	255
90	249	64	255
213	248	64	255
159	247	64	214
169	249	64	214
19	251	192	39
110	252	192	39
61	251	192	39
126	251	0	9
252	250	0	9
203	251	0	9
230	252	128	163
36	253	128	163
69	253	128	163
144	254	0	44
68	253	0	44
81	251	0	44
16	252	192	23
140	252	192	23
95	251	192	23
46	253	192	188
243	252	192	188
108	252	0	30
26	251	0	30
244	250	0	30
214	251	192	55
216	251	192	55
10	253	192	55
47	252	64	252
1	254	64	252
124	253	64	252
81	253	64	180
61	252	64	180
43	252	128	58
116	253	128	58
73	254	128	58
29	255	0	255
133	254	0	255
169	254	0	255
78	255	64	204
255	2	64	204
169	4	0	239
41	5	0	239
192	5	0	239
223	6	0	7
118	6	0	7
16	8	0	7
127	8	0	7
132	8	128	11
205	8	128	11
115	10	128	11
107	10	192	206
52	9	192	206
97	9	192	6
124	10	192	6
146	9	192	6
53	11	192	6
74	10	64	27
4	9	64	27
127	8	64	27
106	8	128	244
4	8	128	244
148	8	128	244
5	8	128	244
157	7	0	242
236	6	0	242
60	7	0	27
50	7	0	27
174	8	0	27
252	7	192	187
82	7	192	187
25	9	0	44
164	7	0	44
164	8	0	44
97	8	0	44
126	8	128	252
184	10	128	252
56	10	128	252
171	9	64	237
54	8	64	237
250	6	64	237
72	6	128	214
18	8	128	214
39	9	0	21
22	7	0	21
127	4	0	21
31	3	0	21
25	3	64	20
9	3	64	20
4	4	64	20
242	3	64	228
28	5	64	228
228	5	64	228
234	5	192	224
80	6	192	224
99	5	192	224
61	4	64	57
101	3	64	57
195	2	192	10
140	2	192	10
5	4	128	37
214	4	128	37
204	3	128	37
134	2	128	37
228	1	128	37
202	2	64	191
164	3	64	191
236	4	0	8
55	5	0	8
47	4	0	8
180	4	0	8
25	5	128	26
173	4	128	26
88	3	128	6
164	2	128	6
198	2	128	6
5	4	128	6
99	4	192	215
132	2	192	215
7	5	64	244
58	7	64	244
24	4	64	244
171	4	64	244
231	3	64	244
255	4	128	255
49	5	128	255
180	5	128	13
10	6	128	13
70	5	128	13
196	5	0	15
135	6	0	15
54	5	0	15
181	4	128	230
248	4	128	230
175	5	128	230
214	5	128	230
197	4	128	230
223	1	64	232
18	4	64	232
87	4	192	219
51	4	192	219
102	3	192	219
57	2	0	22
113	2	0	22
61	1	0	22
60	3	0	5
133	0	0	5
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
